Date,3DF,FLB,ADM,JMV,LVE
1/1/2020,,,,,8
1/2/2020,,,8,,
1/3/2020,,,,8,
1/6/2020,8,,,,
1/7/2020,8,,,,
1/8/2020,,,8,,
1/9/2020,,,8,,
1/10/2020,,,,8,
1/13/2020,8,,,,
1/14/2020,8,,,,
1/15/2020,,,8,,
1/16/2020,,,8,,
1/17/2020,,,,8,
1/20/2020,,,,,8
1/21/2020,8,,,,
1/22/2020,,,8,,
1/23/2020,,,8,,
1/24/2020,,,,8,
1/27/2020,8,,,,
1/28/2020,8,,,,
1/29/2020,,,8,,
1/30/2020,,,,8,
8/17/2020,10,,,,
8/18/2020,10,,,,
8/19/2020,10,,,,
8/20/2020,10,,,,
8/21/2020,8,,,,
8/24/2020,10,,,,
8/25/2020,10,,,,
8/26/2020,10,,,,
8/27/2020,10,,,,
8/28/2020,8,,,,
8/31/2020,10,,,,
9/1/2020,10,,,,
9/2/2020,10,,,,
9/3/2020,10,,,,
9/4/2020,,,,,
9/8/2020,,,10,,
9/9/2020,10,,,,
9/10/2020,10,,,,
9/11/2020,8,,,,
9/14/2020,8,,,,
9/15/2020,8,,,,
9/16/2020,,8,,,
9/17/2020,,8,,,
9/18/2020,,8,,,
9/21/2020,,10,,,
9/22/2020,,10,,,
9/23/2020,,10,,,
9/24/2020,,10,,,
9/25/2020,,10,,,
9/26/2020,,10,,,
9/28/2020,4,,4,,
9/29/2020,,,8,,
9/30/2020,,,8,,
10/1/2020,4,,4,,
10/2/2020,4,,4,,
10/5/2020,8,,,,
10/6/2020,,,8,,
10/7/2020,10,,,,
10/8/2020,10,,,,
10/9/2020,10,,,,
10/10/2020,10,,,,
10/11/2020,10,,,,
10/12/2020,10,,,,
10/13/2020,10,,,,
10/14/2020,10,,,,
10/15/2020,10,,,,
10/16/2020,,,,,8
10/19/2020,,,4,4,
10/20/2020,,,8,,
10/21/2020,,,8,,
10/22/2020,,,,,8
10/23/2020,,,8,,
10/26/2020,,4,4,,
10/27/2020,,8,,,
10/28/2020,8,,,,
10/29/2020,,,,8,
10/30/2020,2,2,4,,
11/2/2020,,2,3,3,
11/3/2020,8,,,,
11/4/2020,4,,1,,3
11/5/2020,6,,2,,
11/6/2020,4,,4,,
11/9/2020,4,,4,,
11/10/2020,6,,2,,
11/11/2020,6,,2,,8
11/12/2020,8,,,,
11/13/2020,4,,4,,
11/16/2020,8,,,,
11/17/2020,8,,,,
11/18/2020,,,6,2,
11/19/2020,2,,6,,
11/20/2020,2,,6,,
11/23/2020,4,,4,,
11/24/2020,4,,4,,
11/25/2020,4,,2,2,
11/26/2020,,,,,8
11/27/2020,,,,,8
11/30/2020,,,4,4,
12/1/2020,,,2,6,
12/2/2020,,,2,6,
12/3/2020,,,2,6,
12/4/2020,,,,,8
12/7/2020,6,,2,,
12/8/2020,8,,,,
12/9/2020,8,,,,
12/10/2020,4,,,4,
12/11/2020,6,,2,, 
12/14/2020,2,,4,2,
12/15/2020,1,,3,4,
12/16/2020,4,,,,
12/17/2020,4,,4,,
12/18/2020,4,,4,,
12/21/2020,3,,4,3,
12/22/2020,4,,,4,
12/23/2020,2,,,6,
12/24/2020,,,,,8
12/25/2020,,,,,8
12/28/2020,6,,,2,
12/29/2020,4,,,4,
12/30/2020,,,,8,
12/31/2020,,,,,8
