code,project name,pi
ADM,Administrative work (includes training),All
TRN,Training,All
LVE,"Leave (Holiday, Sick Leave, Annual Leave)",All
X3DF,3D Fuels Characterization,Prichard
FLB,FASMEE/Fish Lake Rx Burns,Ottmar
JMV,Miscellaneous work for Morgan Varner,Varner
UAV,Drone Demonstration,Mell
MJO,Miscellaneous work for Morris Johnson,Johnson
RUD,Miscellaneous work for Ruddy Mell,Mell
ROG,Miscellaneous work for Roger Ottmar,Ottmar
PFS,Prescribed Fire Science,Ottmar
CCR,Carlton Complex 7-Year Re-measure Project,Peterson
PHD,Cronan PhD,Cronan
